"data_publicacao","data_modificacao","data_sitemap","titulo","link","autor","secao","tipo_conteudo","resumo","imagem_destacada","data_coleta","fonte"
"2026-06-18T14:12:49.448Z","2026-06-18T14:12:49.448Z","2026-06-18T10:12:49.448-04:00","Watch Kim Gordon Play “Play Me” on The Tonight Show","https://pitchfork.com/news/watch-kim-gordon-play-play-me-on-the-tonight-show/","Alex Suskind","news","article","Ahead of the start of her summer tour","https://media.pitchfork.com/photos/6a33f4effd4921a168014c7c/16:9/w_1280,c_limit/Screenshot%202026-06-18%20at%209.38.06%E2%80%AFAM%20(2).png","2026-06-18T11:38:25-03:00","Pitchfork"
"","","2026-06-18T00:03:00.000-04:00","Joseph Shabason / Nicholas Krgovich: Four Days in June","https://pitchfork.com/reviews/albums/shabason-krgovich-four-days-in-june/","Zach Schonfeld","reviews","review","The Toronto jazz-pop musicians embrace the soft-focus twang of ’90s country on an album that summons the spirit of a backyard campfire.","https://media.pitchfork.com/photos/6a32b816cf86f787ac967582/16:9/w_1280,c_limit/Shabason%20&%20Krgovich%20-%20Four%20Days%20in%20June%20album%20art.jpg","2026-06-18T11:38:26-03:00","Pitchfork"
"","","2026-06-18T00:02:00.000-04:00","Sparklmami: in this body","https://pitchfork.com/reviews/albums/sparklmami-in-this-body/","Maria Nenet Barrios","reviews","review","The Texas-born, Chicago-based artist draws on jazz, disco, pop, and R&B for a debut album that’s both fantastical and intimate.","https://media.pitchfork.com/photos/6a31677224da9f2b0a2fcd2e/16:9/w_1280,c_limit/Sparklmami-in%20this%20body.jpg","2026-06-18T11:38:27-03:00","Pitchfork"
"","","2026-06-18T00:01:00.000-04:00","Osees: OFF COURSE","https://pitchfork.com/reviews/albums/osees-off-course/","Stuart Berman","reviews","review","The latest album from John Dwyer and his fellow garage-psych explorers embraces a fluid, improvisatory approach rooted in sprawling jam sessions and infinitely unspooling grooves.","https://media.pitchfork.com/photos/6a32b60acf86f787ac96753d/16:9/w_1280,c_limit/Osees%20-%20OFF%20COURSE%20album%20art.jpg","2026-06-18T11:38:28-03:00","Pitchfork"
"","","2026-06-18T00:00:00.000-04:00","TYGAPAW: Together You Gather All Power Applied Worldwide","https://pitchfork.com/reviews/albums/tygapaw-together-you-gather-all-power-applied-worldwide/","Cameron Cook","reviews","review","On their third album of sprawling techno compositions, the producer uses unsettling, abrasive sounds to reckon with contemporary oppression and usher in a world of Black queer liberation.","https://media.pitchfork.com/photos/6a31b2afc843cb137b4fc8f8/16:9/w_1280,c_limit/TYGAPAW-Together%20You%20Gather%20All%20Power%20Applied%20Worldwide.jpg","2026-06-18T11:38:30-03:00","Pitchfork"
"2026-06-17T21:09:00.230Z","2026-06-17T21:09:00.230Z","2026-06-17T17:09:00.230-04:00","Two Shell Announces New Album Infinite Now","https://pitchfork.com/news/two-shell-announces-new-album-infinite-now/","Kiana Mickles","news","article","The LP lands October 16","https://media.pitchfork.com/photos/6a32d3d3ad4d8ef506ee2b44/16:9/w_1280,c_limit/two_shell_press-edit-2-credit%20Yushy.jpg","2026-06-18T11:38:31-03:00","Pitchfork"
"2026-06-17T16:46:12.402Z","2026-06-17T16:46:12.402Z","2026-06-17T12:46:12.402-04:00","Mystikal Sentenced to 20 Years in Prison for Rape","https://pitchfork.com/news/mystikal-sentenced-to-20-years-in-prison-for-rape/","Jazz Monroe","news","article","The rapper admitted to raping a woman at his home in 2022","https://media.pitchfork.com/photos/6a32cb5ec843cb137b4fcc91/16:9/w_1280,c_limit/mystikal.jpg","2026-06-18T11:38:32-03:00","Pitchfork"
"2026-06-17T16:29:38.090Z","2026-06-17T16:29:38.090Z","2026-06-17T12:29:38.090-04:00","Saul Williams Recruits Robert Del Naja, Kamasi Washington for New Album Leap Life","https://pitchfork.com/news/saul-williams-new-album-leap-year/","Alex Suskind","news","article","Carlos Niño, Gonjasufi, and Moor Mother also appear on the project","https://media.pitchfork.com/photos/6a32bc72dab06b1214824e99/16:9/w_1280,c_limit/unnamed%20(89).jpg","2026-06-18T11:38:33-03:00","Pitchfork"
"2026-06-17T16:12:53.958Z","2026-06-17T16:12:53.958Z","2026-06-17T12:12:53.958-04:00","Each Song on Sad13’s New Mixtape Is One Minute Long","https://pitchfork.com/news/each-song-on-sad13s-new-mixtape-is-one-minute-long/","Nina Corcoran","news","article","The Speedy Ortiz frontperson returns with three songs from 1331, their upcoming mixtape as Sad13","https://media.pitchfork.com/photos/6a32bd8cc843cb137b4fcc27/16:9/w_1280,c_limit/Sadie%20Dupuis_Press%20Photo%201_Credit_SadieDupuis.jpg","2026-06-18T11:38:33-03:00","Pitchfork"
"2026-06-17T14:50:27.153Z","2026-06-17T14:50:27.153Z","2026-06-17T10:50:27.153-04:00","“It’s Fucking Sick”: “Empire State of Mind” Producer on Soundtracking the Knicks’ Win","https://pitchfork.com/news/empire-state-of-mind-producer-on-soundtracking-the-knicks-win/","Alex Suskind","news","article","“It’s kind of ironic that there is a British guy a part of it,” says the British guy in question, Al Shux","https://media.pitchfork.com/photos/6a32a520c843cb137b4fc9ea/16:9/w_1280,c_limit/GettyImages-90724703.jpg","2026-06-18T11:38:34-03:00","Pitchfork"
